Evid,Magnitude,Magnitude Type,Epoch(UTC),Time UTC,Time Local,Distance From,Lat,Lon,Depth Km,Depth Mi
61992076,0.4,l,1711314527.83,2024/03/24 21:08:47,2024/03/24 14:08:47 PDT,"3.0 km from Mt Rainier, WA",46.8348,-121.7893,-1.0,-0.6
61992026,0.6,l,1711295664.4,2024/03/24 15:54:24,2024/03/24 08:54:24 PDT,"15.7 km from Mt Rainier, WA",46.836,-121.9637,7.5,4.7
61991821,0.2,l,1711193848.45,2024/03/23 11:37:28,2024/03/23 04:37:28 PDT,"13.6 km from Mt Rainier, WA",46.8627,-121.9382,10.4,6.5
61991506,0.1,l,1711071535.73,2024/03/22 01:38:55,2024/03/21 18:38:55 PDT,"17.9 km from Mt Rainier, WA",46.9468,-121.9517,11.1,6.9
61990956,0.2,l,1710954389.34,2024/03/20 17:06:29,2024/03/20 10:06:29 PDT,"12.2 km from Mt Rainier, WA",46.8373,-121.9177,10.6,6.5
61990766,0.2,l,1710883528.73,2024/03/19 21:25:28,2024/03/19 14:25:28 PDT,"17.2 km from Mt Rainier, WA",46.8733,-121.9835,5.9,3.7
61990241,0.2,l,1710769387.94,2024/03/18 13:43:07,2024/03/18 06:43:07 PDT,"19.0 km from Mt Rainier, WA",46.8292,-122.0068,7.5,4.6
61990126,0.1,l,1710658239.11,2024/03/17 06:50:39,2024/03/16 23:50:39 PDT,"14.1 km from Mt Rainier, WA",46.8798,-121.9415,8.3,5.1
61990081,0.2,l,1710640836.57,2024/03/17 02:00:36,2024/03/16 19:00:36 PDT,"12.1 km from Mt Rainier, WA",46.855,-121.9192,7.0,4.3
61989911,1.2,l,1710508430.03,2024/03/15 13:13:50,2024/03/15 06:13:50 PDT,"20.5 km from Mt Rainier, WA",46.6975,-121.9040,6.6,4.1
61989676,0.4,l,1710318861.86,2024/03/13 08:34:21,2024/03/13 01:34:21 PDT,"1.3 km from Mt Rainier, WA",46.8598,-121.7452,-2.5,-1.5
61989406,1.1,l,1710134004.45,2024/03/11 05:13:24,2024/03/10 22:13:24 PDT,"5.6 km from Mt Rainier, WA",46.8638,-121.6888,-1.3,-0.8
61989051,0.2,l,1709942693.98,2024/03/09 00:04:53,2024/03/08 16:04:53 PST,"15.2 km from Mt Rainier, WA",46.896,-121.9495,12.2,7.6
61988706,0.5,l,1709890952.15,2024/03/08 09:42:32,2024/03/08 01:42:32 PST,"4.0 km from Mt Rainier, WA",46.8845,-121.7327,-0.7,-0.4
61988681,1.0,l,1709863427.28,2024/03/08 02:03:47,2024/03/07 18:03:47 PST,"14.0 km from Mt Rainier, WA",46.8562,-121.9435,4.7,2.9
61987666,0.4,l,1709672962.6,2024/03/05 21:09:22,2024/03/05 13:09:22 PST,"15.0 km from Mt Rainier, WA",46.871,-121.9547,9.7,6.0
