matched_file,longitude,latitude,distance_km,magnitude,depth,original_date,DAS_visibility
decimator_2023-08-31_17.41.00_UTC.h5,-122.2138333,46.19366667,64.87551428,-0.12,6.57,2023-08-31 17:41:29,n
decimator_2023-08-31_18.25.00_UTC.h5,-121.9613333,46.768,4.615722145,0.42,7.96,2023-08-31 18:25:27,y
decimator_2023-08-31_18.40.00_UTC.h5,-121.7573333,46.85066667,7.349664309,1.11,1.05,2023-08-31 18:40:28,y
decimator_2023-08-31_20.21.00_UTC.h5,-122.1911667,46.19516667,64.11881991,0.24,3.34,2023-08-31 20:21:32,n
decimator_2023-08-31_21.12.00_UTC.h5,-122.1928333,46.19466667,64.21399086,0.01,3.36,2023-08-31 21:12:35,n
decimator_2023-08-31_22.51.00_UTC.h5,-122.1841667,46.1975,63.69635461,-0.17,3.09,2023-08-31 22:51:35,n
decimator_2023-09-01_00.46.00_UTC.h5,-122.0605,46.2605,54.37902617,0.58,11.12,2023-09-01 0:46:13,n
decimator_2023-09-01_01.11.00_UTC.h5,-122.1991667,46.19833333,63.99525212,0.34,2.84,2023-09-01 1:11:13,n
decimator_2023-09-01_02.14.00_UTC.h5,-122.21,46.2,64.11240677,-0.14,6.06,2023-09-01 2:14:22,n
decimator_2023-09-01_02.57.00_UTC.h5,-122.1851667,46.19233333,64.26462938,0.57,1.2,2023-09-01 2:57:42,n
decimator_2023-09-01_03.27.00_UTC.h5,-122.198,46.19466667,64.34789652,0.23,3.71,2023-09-01 3:27:36,n
decimator_2023-09-01_04.22.00_UTC.h5,-122.1881667,46.19716667,63.83246416,-0.15,3.79,2023-09-01 4:22:12,n
decimator_2023-09-01_05.21.00_UTC.h5,-122.1901667,46.20266667,63.30705316,1.34,4.39,2023-09-01 5:21:02,y
decimator_2023-09-01_05.27.00_UTC.h5,-122.1851667,46.1945,64.03680441,0.91,1.01,2023-09-01 5:27:36,n
decimator_2023-09-01_05.28.00_UTC.h5,-121.7563333,46.85333333,7.633630502,0.76,-0.11,2023-09-01 5:28:11,y
decimator_2023-09-01_08.05.00_UTC.h5,-121.9593333,46.78116667,5.590653678,0.8,9.19,2023-09-01 8:05:56,y
decimator_2023-09-01_09.00.00_UTC.h5,-122.1966667,46.19833333,63.92956764,0.36,4.77,2023-09-01 9:00:27,n
decimator_2023-09-01_09.10.00_UTC.h5,-121.7976667,46.85133333,7.95940181,0.18,-2.51,2023-09-01 9:10:45,y
decimator_2023-09-01_09.36.00_UTC.h5,-122.1915,46.19866667,63.76049895,0.04,4.82,2023-09-01 9:36:06,n
decimator_2023-09-01_10.55.00_UTC.h5,-121.9485,46.7805,5.076533675,0.16,9.21,2023-09-01 10:55:47,y
decimator_2023-09-01_15.34.00_UTC.h5,-121.754,46.82966667,5.00253021,0.83,1.11,2023-09-01 15:34:32,m
decimator_2023-09-01_15.40.00_UTC.h5,-121.7545,46.85416667,7.709776548,0.55,-2.27,2023-09-01 15:40:04,y
decimator_2023-09-01_16.49.00_UTC.h5,-122.1951667,46.1955,64.18694471,0.19,5.69,2023-09-01 16:49:36,n
decimator_2023-09-02_06.10.00_UTC.h5,-122.1838333,46.19933333,63.49530021,0.19,5.46,2023-09-02 6:10:07,n
decimator_2023-09-02_07.07.00_UTC.h5,-122.1866667,46.19833333,63.67190952,0.27,5.31,2023-09-02 7:07:57,n
decimator_2023-09-02_07.16.00_UTC.h5,-122.3868333,46.35033333,56.43048442,1.45,8.6,2023-09-02 7:16:56,n
decimator_2023-09-02_07.19.00_UTC.h5,-122.185,46.196,63.87494712,0.36,3.93,2023-09-02 7:19:33,n
decimator_2023-09-02_07.37.00_UTC.h5,-121.9201667,46.86216667,13.41275575,1.33,9.97,2023-09-02 7:37:15,y
decimator_2023-09-02_08.25.00_UTC.h5,-122.1931667,46.20083333,63.57673983,0.15,6.69,2023-09-02 8:25:56,n
decimator_2023-09-02_13.45.00_UTC.h5,-121.7838333,46.826,5.030976998,0.43,-2.34,2023-09-02 13:45:10,m
decimator_2023-09-02_13.46.00_UTC.h5,-121.759,46.85266667,7.588098974,0.22,1.67,2023-09-02 13:46:33,n
decimator_2023-09-02_15.14.00_UTC.h5,-121.9635,46.77516667,5.285261183,0.64,9.15,2023-09-02 15:14:28,y
decimator_2023-09-02_15.46.00_UTC.h5,-122.0065,47.07366667,36.84442959,0.86,14.89,2023-09-02 15:46:30,y
decimator_2023-09-02_15.49.00_UTC.h5,-122.1858333,46.19933333,63.5457963,1.48,2.66,2023-09-02 15:49:16,m
decimator_2023-09-02_16.12.00_UTC.h5,-122.19,46.1945,64.15896447,-0.13,3.56,2023-09-02 16:12:52,n
decimator_2023-09-02_17.46.00_UTC.h5,-121.9125,46.86133333,13.26507627,0.32,10.04,2023-09-02 17:46:35,y
decimator_2023-09-02_18.09.00_UTC.h5,-122.284,47.68083333,107.0810837,2.11,29.31,2023-09-02 18:09:50,n
decimator_2023-09-02_19.15.00_UTC.h5,-121.9241667,46.65433333,9.423840228,0.54,7.6,2023-09-02 19:15:14,n
decimator_2023-09-03_00.20.00_UTC.h5,-122.2,46.1935,64.52225182,0,1.82,2023-09-03 0:20:53,n
decimator_2023-09-03_00.32.00_UTC.h5,-122.0096667,46.08433333,72.99307712,0.36,7.67,2023-09-03 0:32:43,n
decimator_2023-09-03_13.21.00_UTC.h5,-122.1876667,46.196,63.94223763,0.61,2.91,2023-09-03 13:21:01,n
decimator_2023-09-03_13.27.00_UTC.h5,-121.7598333,46.853,7.634539127,0.58,1.2,2023-09-03 13:27:29,y
