Channel,Optical Distance [m],Latitude [°],Longitude [°],Elevation [m],Uncertainty [m],Distance along road [m],Azimuth [°],Pick,x,y,Direction,Direction_manual,Curve,Notice,Direction_manual_simplified,Lithology,slope_deg
2947,28205.7,46.74169,-121.88879,669.0,13.9,25749.4,245.0,False,-11571.43134,-4911.034644,WSW,WSW,True,,W,Qs,2.2055561542510986
2948,28215.3,46.74167,-121.88887,669.0,13.8,25756.2,242.0,False,-11577.53166,-4913.258542,WSW,WSW,True,,W,Qs,3.5236973762512207
2949,28224.9,46.74163,-121.88894,669.0,13.7,25763.2,239.0,True,-11582.87428,-4917.706337,WSW,WSW,True,,W,Qs,5.824544429779053
2950,28234.5,46.7416,-121.88902,669.0,13.5,25770.2,236.0,True,-11588.97676,-4921.042184,SW,WSW,True,,W,Qs,1.5581387281417847
2951,28244.0,46.74156,-121.8891,670.0,13.4,25777.2,236.0,True,-11595.0814,-4925.48998,SW,WSW,True,,W,Qs,11.128996849060059
2952,28253.6,46.74153,-121.88917,670.0,13.4,25784.3,236.0,True,-11600.4219,-4928.825827,SW,WSW,True,,W,Qs,3.042572498321533
2953,28263.2,46.74149,-121.88925,670.0,13.4,25791.3,236.0,True,-11606.52655,-4933.273623,SW,WSW,True,,W,Qs,9.877873420715332
2954,28272.7,46.74142,-121.8894,670.0,9.8,25805.6,235.0,True,-11617.97173,-4941.057265,SW,WSW,True,,W,Qs,2.9417531490325928
2955,28282.3,46.74134,-121.88955,670.0,13.0,25819.9,234.0,True,-11629.4191,-4949.952857,SW,WSW,True,,W,Qs,2.7358429431915283
2956,28291.9,46.74127,-121.8897,669.0,16.6,25834.2,234.0,True,-11640.86434,-4957.736499,SW,WSW,True,,W,Qs,3.238145112991333
2957,28301.4,46.74119,-121.88985,669.0,16.6,25848.5,242.0,True,-11652.31177,-4966.63209,WSW,WSW,True,,W,Qs,6.311036586761475
2958,28311.0,46.74118,-121.88993,669.0,12.3,25854.1,249.0,True,-11658.41002,-4967.744039,WSW,WSW,True,,W,Qs,4.9106340408325195
2959,28320.6,46.74117,-121.89,669.0,11.2,25859.7,257.0,True,-11663.74625,-4968.855988,WSW,WSW,True,,W,Qs,2.3275299072265625
2960,28330.2,46.74116,-121.89007,669.0,15.5,25865.3,257.0,True,-11669.08249,-4969.967937,WSW,WSW,True,,W,Qs,3.2836251258850098
2961,28339.7,46.74114,-121.89014,669.0,15.5,25870.9,257.0,True,-11674.4209,-4972.191835,WSW,WSW,True,,W,Qs,3.5222551822662354
2962,28349.3,46.74113,-121.89021,669.0,15.5,25876.5,257.0,False,-11679.75715,-4973.303784,WSW,WSW,True,,W,Qs,1.4659196138381958
2963,28358.9,46.74112,-121.89028,669.0,15.5,25882.0,257.0,False,-11685.09339,-4974.415733,WSW,WSW,True,,W,Qs,1.3021444082260132
2964,28368.4,46.74111,-121.89036,669.0,15.5,25887.6,261.0,True,-11691.19165,-4975.527682,W,WSW,True,,W,Qs,1.9933955669403076
2965,28378.0,46.74111,-121.89049,669.0,13.1,25898.1,265.0,False,-11701.0978,-4975.527682,W,WSW,True,,W,Qs,2.099888563156128
2966,28387.6,46.74111,-121.89063,669.0,10.7,25908.5,269.0,False,-11711.76597,-4975.527682,W,WSW,True,,W,Qs,0.5450708866119385
2967,28397.2,46.7411,-121.89077,668.0,10.8,25918.9,269.0,True,-11722.4363,-4976.639631,W,WSW,True,,W,Qs,1.4962565898895264
2968,28406.7,46.7411,-121.8909,668.0,10.8,25929.3,269.0,True,-11732.34246,-4976.639631,W,WSW,True,,W,Qs,4.5649871826171875
2969,28416.3,46.7411,-121.89104,668.0,10.8,25939.7,269.0,True,-11743.01062,-4976.639631,W,WSW,True,,W,Qs,3.3648929595947266
2970,28425.9,46.7411,-121.89118,668.0,10.8,25950.1,268.0,True,-11753.67879,-4976.639631,W,WSW,True,,W,Qs,3.0332891941070557
2971,28435.4,46.74109,-121.89132,668.0,11.1,25961.1,266.0,True,-11764.34913,-4977.75158,W,WSW,True,,W,Qs,4.386870384216309
2972,28445.0,46.74108,-121.89146,668.0,11.4,25972.0,265.0,True,-11775.01948,-4978.863529,W,WSW,True,,W,Qs,4.388343811035156
2973,28454.6,46.74107,-121.89161,668.0,11.7,25983.0,265.0,True,-11786.45185,-4979.975478,W,WSW,True,,W,Qs,5.823455333709717
2974,28464.2,46.74106,-121.89175,667.0,11.7,25994.0,265.0,True,-11797.12221,-4981.087427,W,WSW,True,,W,Qs,7.564453601837158
2975,28473.7,46.74106,-121.89189,667.0,11.7,26005.0,265.0,True,-11807.79038,-4981.087427,W,WSW,True,,W,Qs,1.1364727020263672
2976,28483.3,46.74105,-121.89204,667.0,11.7,26015.9,264.0,True,-11819.22276,-4982.199375,W,WSW,True,,W,Qs,1.2842180728912354
2977,28492.9,46.74103,-121.89218,667.0,11.8,26027.1,263.0,True,-11829.89532,-4984.423273,W,WSW,True,,W,Qs,3.799058198928833
2978,28502.4,46.74102,-121.89233,667.0,11.9,26038.3,262.0,True,-11841.32771,-4985.535222,W,WSW,True,,W,Qs,3.6865901947021484
2979,28512.0,46.74101,-121.89247,667.0,12.0,26049.4,262.0,True,-11851.99809,-4986.647171,W,WSW,True,,W,Qs,3.307014226913452
2980,28521.6,46.74099,-121.89262,667.0,12.0,26060.6,262.0,True,-11863.43268,-4988.871069,W,WSW,True,,W,Qs,3.6150460243225098
