Channel,Optical Distance [m],Latitude [°],Longitude [°],Elevation [m],x [m],y [m],Uncertainty [m],Distance along road [m],Azimuth [°],Pick,Direction []
190,1818.5,46.78250,-121.74876,1590,-900.36466,-373.50376,9.9,1549.4,318,True,NW
191,1828.1,46.78258,-121.74885,1589,-907.57148,-364.38577,11.0,1561.0,322,True,NW
192,1837.6,46.78266,-121.74895,1588,-914.77829,-355.26779,12.6,1572.6,326,True,NW
193,1847.2,46.78275,-121.74901,1588,-919.72603,-345.31584,12.4,1583.7,330,True,NNW
194,1856.8,46.78284,-121.74908,1587,-924.67377,-335.36390,12.1,1594.9,335,True,NNW
195,1866.3,46.78293,-121.74914,1586,-929.05035,-325.07837,11.9,1606.0,336,True,NNW
196,1875.9,46.78303,-121.74919,1586,-933.42694,-314.79284,11.9,1617.2,336,True,NNW
197,1885.5,46.78306,-121.74922,1586,-935.38422,-310.62303,10.4,1621.8,336,False,NNW
198,1895.1,46.78310,-121.74925,1585,-937.34151,-306.45322,13.7,1626.4,335,False,NNW
199,1904.6,46.78314,-121.74927,1585,-939.29879,-302.28341,17.0,1631.0,335,False,NNW
200,1914.2,46.78317,-121.74930,1584,-941.25608,-298.11360,17.0,1635.6,333,False,NNW
201,1923.8,46.78322,-121.74933,1584,-944.09981,-293.57843,16.6,1641.0,327,False,NNW
202,1933.3,46.78326,-121.74939,1583,-948.71642,-288.31256,15.4,1648.0,322,False,NW
203,1942.9,46.78331,-121.74946,1583,-953.33304,-283.04669,14.2,1655.0,319,False,NW
204,1952.5,46.78336,-121.74952,1583,-957.94966,-277.78081,13.4,1662.1,319,False,NW
205,1962.1,46.78341,-121.74958,1582,-962.56627,-272.51494,13.4,1669.1,315,False,NW
206,1971.6,46.78343,-121.74963,1582,-966.86776,-269.33000,14.2,1674.5,308,False,NW
207,1981.2,46.78345,-121.74969,1582,-971.01169,-267.18552,15.4,1679.2,300,False,WNW
208,1990.8,46.78347,-121.74974,1581,-975.15562,-265.04105,16.5,1683.8,297,False,WNW
209,2000.3,46.78349,-121.74980,1581,-979.29954,-262.89658,16.9,1688.5,297,True,WNW
210,2009.9,46.78351,-121.74985,1581,-983.44347,-260.75210,16.9,1693.2,290,True,WNW
211,2019.5,46.78354,-121.75031,1579,-1018.54418,-257.74984,17.5,1728.4,273,True,W
212,2029.1,46.78351,-121.75039,1579,-1024.77441,-260.44884,18.6,1735.2,256,False,WSW
213,2038.6,46.78349,-121.75048,1578,-1031.00463,-263.14785,19.6,1742.0,247,False,WSW
214,2048.2,46.78347,-121.75056,1578,-1037.23486,-265.84685,13.7,1748.8,244,False,WSW
215,2057.8,46.78343,-121.75063,1578,-1042.98761,-269.30400,13.7,1755.6,237,False,WSW
216,2067.3,46.78339,-121.75070,1578,-1047.78541,-274.27745,13.7,1762.5,229,False,SW
217,2076.9,46.78334,-121.75076,1577,-1052.58320,-279.25090,13.6,1769.4,224,False,SW
218,2086.5,46.78330,-121.75082,1577,-1057.38100,-284.22434,13.6,1776.3,219,False,SW
219,2096.0,46.78325,-121.75087,1577,-1060.78078,-290.30974,13.5,1783.4,212,False,SSW
220,2105.6,46.78319,-121.75090,1577,-1063.48154,-296.95111,13.3,1790.6,204,False,SSW
221,2115.2,46.78313,-121.75094,1576,-1066.18229,-303.59248,13.2,1797.7,202,False,SSW
222,2124.8,46.78307,-121.75097,1576,-1068.88305,-310.23385,13.2,1804.9,194,True,SSW
223,2134.3,46.78283,-121.75096,1574,-1068.12625,-336.14226,15.3,1830.8,178,True,S
224,2143.9,46.78281,-121.75095,1574,-1066.84921,-338.73681,13.2,1833.7,162,False,SSE
225,2153.5,46.78279,-121.75093,1574,-1065.57217,-341.33136,11.1,1836.6,154,False,SSE
226,2163.0,46.78276,-121.75091,1574,-1064.29513,-343.92591,19.6,1839.5,154,False,SSE
227,2172.6,46.78274,-121.75090,1574,-1063.01808,-346.52046,19.6,1842.4,154,False,SSE
228,2182.2,46.78272,-121.75088,1573,-1061.74104,-349.11500,19.6,1845.3,154,False,SSE
229,2191.8,46.78269,-121.75086,1573,-1060.46400,-351.70955,19.6,1848.2,154,False,SSE
230,2201.3,46.78267,-121.75085,1573,-1059.18695,-354.30410,19.6,1851.1,154,False,SSE
231,2210.9,46.78265,-121.75083,1573,-1057.90991,-356.89865,19.6,1854.0,154,False,SSE
232,2220.5,46.78262,-121.75081,1573,-1056.63287,-359.49320,19.6,1856.9,147,True,SSE
233,2230.0,46.78255,-121.75069,1572,-1047.11651,-368.05521,14.6,1869.7,139,True,SE
234,2239.6,46.78247,-121.75056,1572,-1037.60015,-376.61722,9.7,1882.5,126,True,SE
235,2249.2,46.78245,-121.75049,1572,-1031.75027,-379.23030,11.2,1888.9,120,False,ESE
236,2258.8,46.78242,-121.75041,1571,-1025.90039,-381.84338,11.1,1895.3,114,False,ESE
237,2268.3,46.78240,-121.75033,1570,-1020.05051,-384.45646,14.3,1901.7,114,False,ESE
238,2277.9,46.78238,-121.75025,1570,-1014.20063,-387.06954,14.3,1908.1,114,False,ESE
239,2287.5,46.78235,-121.75018,1570,-1008.35075,-389.68262,14.3,1914.5,114,False,ESE
240,2297.0,46.78233,-121.75010,1569,-1002.50087,-392.29570,14.3,1920.9,112,True,ESE
241,2306.6,46.78231,-121.75003,1568,-996.80946,-394.10262,14.5,1926.9,110,True,ESE
242,2316.2,46.78230,-121.74995,1568,-991.11806,-395.90954,14.8,1932.8,108,True,ESE
243,2325.8,46.78228,-121.74988,1568,-985.42665,-397.71645,15.0,1938.8,108,False,ESE
244,2335.3,46.78226,-121.74980,1567,-979.73525,-399.52337,15.0,1944.8,108,True,ESE
245,2344.9,46.78224,-121.74970,1567,-972.18903,-402.21676,13.9,1952.8,109,False,ESE
246,2354.5,46.78221,-121.74960,1566,-964.64281,-404.91015,12.9,1960.8,110,False,ESE
247,2364.0,46.78219,-121.74950,1566,-957.09660,-407.60354,11.9,1968.8,110,False,ESE
248,2373.6,46.78217,-121.74941,1565,-949.55038,-410.29692,11.9,1976.8,111,False,ESE
249,2383.2,46.78214,-121.74932,1565,-943.34092,-413.17564,12.5,1983.7,116,False,ESE
250,2392.8,46.78211,-121.74926,1565,-938.46821,-416.23968,13.6,1989.5,120,False,ESE
251,2402.3,46.78209,-121.74920,1564,-933.59551,-419.30371,14.7,1995.2,122,False,ESE
252,2411.9,46.78206,-121.74913,1564,-928.72280,-422.36775,15.3,2001.0,122,True,ESE
253,2421.5,46.78203,-121.74907,1564,-923.85010,-425.43179,15.3,2006.7,124,True,SE
254,2431.0,46.78199,-121.74900,1564,-918.55875,-429.62940,14.8,2013.5,126,True,SE
255,2440.6,46.78195,-121.74893,1563,-913.26741,-433.82701,14.3,2020.3,128,True,SE
256,2450.2,46.78192,-121.74886,1562,-907.97606,-438.02461,13.8,2027.0,128,True,SE
257,2459.7,46.78188,-121.74879,1562,-902.68471,-442.22222,13.8,2033.8,128,True,SE
258,2469.3,46.78180,-121.74865,1561,-891.87355,-450.72863,10.3,2047.5,128,False,SE
259,2478.9,46.78173,-121.74851,1560,-881.06238,-459.23505,12.3,2061.3,128,True,SE
260,2488.5,46.78169,-121.74844,1560,-875.71386,-463.37706,12.4,2068.0,128,False,SE
261,2498.0,46.78165,-121.74837,1560,-870.36534,-467.51907,10.3,2074.8,128,True,SE
262,2507.6,46.78161,-121.74830,1559,-865.01681,-471.66108,13.8,2081.6,128,True,SE
263,2517.2,46.78158,-121.74823,1559,-859.66829,-475.80309,13.8,2088.3,129,True,SE
264,2526.7,46.78152,-121.74814,1559,-853.19687,-481.77055,12.8,2097.1,131,True,SE
265,2536.3,46.78147,-121.74805,1558,-846.72545,-487.73801,11.7,2105.9,133,True,SE
266,2545.9,46.78142,-121.74797,1558,-840.25403,-493.70547,10.7,2114.7,137,True,SE
267,2555.5,46.78135,-121.74790,1558,-835.22954,-501.37792,10.5,2123.9,142,True,SE
268,2565.0,46.78128,-121.74784,1557,-830.20506,-509.05037,10.4,2133.1,147,True,SSE
